timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
01:16.574 30 -19.13 -56.84 130.76
01:16.720 30 -19.37 -56.79 130.76
01:16.928 30 -19.66 -56.67 130.82
01:17.483 30 -20.10 -56.44 130.99
01:17.718 30 -20.34 -56.31 131.11
01:17.859 30 -20.81 -56.00 131.39
01:18.811 30 -136.58 -64.55 -139.20
01:19.560 30 -117.47 -69.88 -155.56
01:19.808 30 -115.98 -70.13 -156.85
01:20.790 30 -114.51 -70.35 -158.11
01:20.972 30 -113.04 -70.54 -159.36
01:21.097 30 -111.07 -70.77 -161.06
01:21.730 30 -109.58 -70.93 -162.34
01:22.029 30 -108.10 -71.09 -163.64
01:22.234 30 -106.09 -71.29 -165.40
01:22.696 30 -104.54 -71.44 -166.77
01:22.844 30 -102.97 -71.57 -168.17
01:22.891 30 -101.43 -71.68 -169.54
01:23.168 30 -99.97 -71.77 -170.84
01:23.654 30 -98.60 -71.84 -172.05
01:23.864 30 -96.90 -71.92 -173.53
01:23.999 30 -95.69 -71.97 -174.59
01:25.646 30 -88.81 -67.74 178.41
01:25.924 30 -85.34 -67.06 175.44
01:27.133 30 -83.32 -66.56 173.78
01:27.181 30 -80.80 -65.80 171.83
01:27.541 30 -78.56 -64.94 170.22
01:27.917 30 -76.57 -64.03 168.90
01:28.145 30 -74.44 -62.83 167.60
01:28.268 30 -73.03 -61.85 166.80
01:28.543 30 -71.87 -60.88 166.19
01:28.967 30 -70.87 -59.95 165.64
01:29.198 30 -70.00 -59.08 165.11
01:29.265 30 -69.27 -58.29 164.67
01:30.122 30 -68.69 -57.59 164.34
01:30.170 30 -68.17 -56.88 164.08
01:30.533 30 -67.84 -56.43 163.99
01:31.116 30 3.98 -1.49 -163.52
01:31.428 30 9.47 0.58 -158.10
01:31.534 30 13.78 4.57 -155.63
01:32.204 30 11.31 -0.83 -150.68
01:32.374 30 8.00 0.86 -141.09
01:32.583 30 6.50 1.31 -138.13
01:33.831 30 6.26 1.38 -137.54
01:33.958 30 6.06 1.42 -136.95
01:34.099 30 5.89 1.44 -136.36
01:34.542 30 5.74 1.43 -135.78
01:34.687 30 5.62 1.39 -135.21
01:34.903 30 5.52 1.31 -134.66
01:35.338 30 5.42 1.20 -134.11
01:35.458 30 5.33 1.05 -133.57
01:35.590 30 5.24 0.88 -133.05
01:35.842 30 5.14 0.68 -132.54
01:36.445 30 5.05 0.47 -132.05
01:36.567 30 4.89 0.14 -131.33
01:36.794 30 2.63 -2.12 -96.51
01:37.163 30 2.63 -2.12 -96.49
01:37.398 30 2.64 -2.12 -96.48
01:47.346 30 2.64 -2.12 -96.47
01:48.669 30 2.64 -2.12 -96.47
01:48.798 30 2.64 -2.12 -96.47
01:48.936 30 2.64 -2.12 -96.47
01:49.171 30 2.64 -2.12 -96.47
01:49.590 30 2.64 -2.12 -96.47
01:49.741 30 2.64 -2.12 -96.47
01:49.944 30 2.64 -2.11 -96.46
01:50.388 30 2.64 -2.11 -96.46
01:50.593 30 2.64 -2.11 -96.46
01:50.638 30 2.64 -2.11 -96.46
01:51.374 30 2.64 -2.11 -96.46
01:51.510 30 2.64 -2.11 -96.46
01:51.657 30 2.64 -2.11 -96.46
01:51.902 30 2.64 -2.11 -96.46
01:52.906 30 0.38 1.77 -96.86
01:53.508 30 -0.45 3.41 -96.64
01:55.017 30 -0.18 3.31 -96.58
01:55.144 30 0.11 3.21 -96.50
01:55.329 30 0.28 3.10 -96.41
01:55.835 30 0.52 2.93 -96.32
01:56.043 30 0.69 2.76 -96.22
01:56.306 30 0.96 2.65 -96.17
01:56.809 30 1.12 2.49 -96.04
01:56.945 30 1.09 2.38 -95.93
01:57.089 30 1.23 2.17 -95.79
01:57.540 30 1.45 1.97 -95.64
01:58.072 30 1.70 1.77 -95.52
01:58.202 30 1.89 1.54 -95.37
01:58.401 30 2.03 1.33 -95.22
01:58.528 30 2.21 1.20 -95.13
01:59.439 30 0.11 -0.10 -95.70
02:00.232 30 0.17 -0.93 -96.51
02:00.671 30 0.24 -2.05 -97.52
02:00.831 30 0.41 -3.47 -98.65
02:01.015 30 0.25 -4.62 -99.56
02:01.196 30 0.26 -5.78 -100.63
02:01.665 30 0.31 -6.72 -101.37
02:01.804 30 0.42 -8.08 -102.49
02:01.935 30 0.54 -9.13 -103.43
02:02.438 30 0.67 -10.14 -104.37
02:02.841 30 0.53 -10.92 -105.11
02:03.059 30 0.57 -12.14 -106.09
02:03.572 30 0.69 -13.13 -106.93
02:03.722 30 0.97 -14.22 -107.74
02:03.852 30 1.18 -15.10 -108.38
02:04.042 30 1.48 -16.44 -109.33
02:04.526 30 1.55 -17.53 -110.15
02:04.678 30 1.61 -18.66 -110.98
02:04.810 30 1.68 -19.72 -111.76
02:05.157 30 -1.30 -0.82 -94.93
02:05.352 30 -1.76 -4.40 -95.16
02:05.799 30 -1.78 -6.23 -95.12
02:06.682 30 0.81 -2.99 -94.89
02:06.983 30 1.31 -2.31 -94.86
02:08.418 30 1.55 -2.01 -94.78
02:08.718 30 1.62 -1.71 -94.74
02:08.765 30 1.64 -1.44 -94.67
02:09.318 30 1.69 -1.27 -94.63
02:09.389 30 1.85 -1.04 -94.60
02:09.681 30 1.86 -0.79 -94.54
02:10.064 30 1.91 -0.63 -94.49
02:10.296 30 1.88 -0.49 -94.45
02:10.610 30 1.90 -0.19 -94.41
02:10.931 30 1.88 -0.08 -94.39
02:11.403 30 1.66 0.04 -94.32
02:11.633 30 1.62 0.16 -94.30
02:11.683 30 1.34 0.30 -94.25
02:12.156 30 0.26 0.18 -90.71
02:12.291 30 0.33 0.12 -90.56
02:12.987 30 0.74 -0.10 -90.48
02:13.155 30 0.91 0.02 -90.41
02:13.357 30 0.85 0.03 -90.42
02:14.819 30 0.81 0.04 -90.41
02:14.949 30 0.72 0.00 -90.41
02:15.090 30 0.72 0.03 -90.39
02:15.533 30 0.71 0.04 -90.40
02:15.673 30 0.70 0.03 -90.42
02:15.857 30 0.71 0.01 -90.42
02:16.316 30 0.68 -0.04 -90.40
02:16.444 30 0.68 -0.06 -90.39
02:16.582 30 0.65 -0.10 -90.39
02:16.778 30 0.64 -0.12 -90.39
02:17.564 30 0.66 -0.14 -90.39
02:17.696 30 0.68 -0.18 -90.37
02:17.832 30 0.68 -0.17 -90.38
02:18.818 30 3.73 -2.85 -92.97
02:19.058 30 3.73 -2.85 -92.99
02:19.784 30 3.74 -2.85 -93.01
02:20.209 30 3.73 -2.85 -93.01
02:21.485 30 3.73 -2.85 -93.01
02:21.625 30 3.73 -2.85 -93.01
02:21.764 30 3.73 -2.85 -93.01
02:22.219 30 3.73 -2.85 -93.02
02:22.363 30 3.74 -2.85 -93.01
02:22.554 30 3.73 -2.85 -93.02
02:23.032 30 3.73 -2.85 -93.02
02:23.162 30 3.73 -2.85 -93.02
02:23.315 30 3.73 -2.85 -93.02
