timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
01:25.548 0 4.086256 -2.479705 -2.299427 159.04 4.41 -94.19
01:25.581 0 4.063260 -2.443334 -2.206260 157.12 4.03 -94.26
01:25.615 0 4.065427 -2.445395 -2.206335 158.61 6.03 -94.57
01:25.648 0 4.081477 -2.489884 -2.292773 159.45 6.50 -94.92
01:25.681 0 4.082160 -2.491252 -2.292221 158.43 5.67 -94.80
01:25.715 0 4.084601 -2.490424 -2.292478 159.25 6.73 -95.13
01:25.747 0 4.086227 -2.489441 -2.290454 158.56 6.52 -94.98
01:25.782 0 4.087481 -2.489651 -2.290664 158.63 5.82 -94.87
01:25.816 0 4.086979 -2.490238 -2.288655 158.04 5.53 -94.74
01:25.847 0 4.071237 -2.443393 -2.199661 158.95 5.19 -94.61
01:25.881 0 4.084867 -2.486668 -2.290731 157.89 5.13 -94.79
01:25.914 0 4.084808 -2.482484 -2.292479 158.95 5.55 -94.97
01:25.947 0 4.084422 -2.478790 -2.294556 157.88 5.20 -94.60
01:25.981 0 4.083853 -2.476201 -2.297605 157.73 4.36 -94.59
01:26.015 0 4.071574 -2.428754 -2.210206 158.91 5.59 -94.85
01:26.048 0 4.087502 -2.473204 -2.297093 157.64 5.20 -94.79
01:26.081 0 4.090436 -2.472574 -2.296814 158.60 5.30 -94.86
01:26.115 0 4.093521 -2.474293 -2.295131 158.61 5.88 -94.80
01:26.148 0 4.094506 -2.475086 -2.291335 157.23 5.88 -94.68
01:26.182 0 4.096007 -2.476802 -2.290449 157.07 5.38 -94.55
01:26.215 0 4.099226 -2.477662 -2.291249 158.94 5.98 -95.07
01:26.248 0 4.099939 -2.480481 -2.289280 158.15 4.82 -94.92
01:26.281 0 4.099304 -2.482280 -2.288462 158.45 4.07 -94.78
01:26.315 0 4.097800 -2.484814 -2.288864 159.01 5.02 -95.03
01:26.348 0 4.095284 -2.485275 -2.288727 159.23 4.48 -94.99
01:26.380 0 4.092501 -2.485600 -2.288272 159.55 4.84 -94.91
01:26.414 0 4.090168 -2.486747 -2.290785 159.07 4.09 -94.82
01:26.448 0 4.088271 -2.486524 -2.287864 158.29 5.26 -94.84
01:26.481 0 4.086405 -2.487407 -2.287193 157.53 4.92 -94.74
01:26.515 0 4.086577 -2.487991 -2.287879 158.45 4.85 -95.02
